zmienna (klucz);źródło;kod podgrupy;kod zmiennej;opis;dostępne poziomy;jednostka;Kobiety;Mężczyźni;Ogółem;Różnica (K - M);Proporcja (K / M);Proporcja (M / K);% kobiet;% mężczyzn
unemployment;Bank Danych Lokalnych GUS;P2670;79214 (ogółem), 79215 (mężczyźni), 79216 (kobiety);Stopa bezrobocia rejestrowanego -- odsetek osób bezrobotnych zarejestrowanych w urzędach pracy wśród ludności aktywnej zawodowo w wieku produkcyjnym. Dane roczne, powiaty.;Powiat;%;;;;;;;X;X
labor_force_activity;Narodowy Spis Powszechny Ludności i Mieszkań 2021 (BDL GUS);P4309;1670866/73/80 (15+), 1670867/74/81 (15-24), 1670868/75/82 (25-34), 1670869/76/83 (35-44), 1670870/77/84 (45-54), 1670871/78/85 (55-64), 1670872/79/86 (65+) -- wszystkie ogółem/mężczyźni/kobiety;"Współczynnik aktywności zawodowej -- odsetek osób aktywnych zawodowo (pracujących lub aktywnie poszukujących pracy) w danej grupie wieku. Jednorazowy pomiar z Narodowego Spisu Powszechnego 2021, nie dane roczne. Wszystkie grupy wieku (15+ i sześć przedziałów 10-letnich) mają wartość ""ogółem"" publikowaną wprost przez BDL.";Powiat;%;;;;;;;X;X
e8_polski;Centralna Komisja Egzaminacyjna (CKE);;;"Wynik procentowy z egzaminu ósmoklasisty z języka polskiego, wg powiatu zamieszkania szkoły. ""Ogółem"" dla średniej to średnia ważona liczbą zdających kobiet i mężczyzn; dla mediany brak wartości ""ogółem"" -- mediany dwóch grup nie da się poprawnie połączyć w medianę całości.";Powiat;%;;;;;;;X;X
e8_matematyka;Centralna Komisja Egzaminacyjna (CKE);;;"Wynik procentowy z egzaminu ósmoklasisty z matematyki, wg powiatu zamieszkania szkoły. ""Ogółem"" dla średniej to średnia ważona liczbą zdających kobiet i mężczyzn; dla mediany brak wartości ""ogółem"".";Powiat;%;;;;;;;X;X
radni_powiatu;Bank Danych Lokalnych GUS;P1317;3094 (ogółem), 3095 (mężczyźni), 3096 (kobiety);"Liczba radnych w radach powiatów, wg płci. Dla miast na prawach powiatu (Kraków, Warszawa itd.) BDL sam w sobie raportuje 0 -- te miasta nie mają osobnej rady powiatu, ich rada miasta pełni obie funkcje naraz, ale jest liczona wyłącznie pod radami gmin. Podstawiono tu wartość z ""Radni gminy"" dla tych 66 miast zamiast mylącego zera.";Powiat;osób;;;;;;;;
radni_gminy;Bank Danych Lokalnych GUS;P1312;6 (ogółem), 7 (mężczyźni), 8 (kobiety);Liczba radnych w radach gmin, wg płci.;Gmina;osób;;;;;;;;
wybory_rady_gmin;Państwowa Komisja Wyborcza (PKW);;;"Kandydaci, wybrani radni i oddane głosy w wyborach do rad gmin, wg płci. Dane tylko z lat wyborczych 1998-2024 (nieciągłe, w przeciwieństwie do ""Radni gminy"" z BDL). Warszawa liczona jako jedna rada miasta -- rady dzielnic m.st. Warszawy są celowo pominięte, żeby liczby były porównywalne z resztą gmin. 52 gminy z lat 1998-2014 (głównie dawne odrębne gminy Warszawy sprzed unifikacji w 2002 r.) nie mają dzisiejszego odpowiednika administracyjnego i figurują pod swoim historycznym 6-cyfrowym TERYT-em -- nie pojawią się na mapie, dopóki nie powstanie dla nich osobna warstwa granic.";Gmina;osób;;;;;;;;
wybory_rady_powiatow;Państwowa Komisja Wyborcza (PKW);;;"Kandydaci, wybrani radni i oddane głosy w wyborach do rad powiatów, wg płci. Dane tylko z lat wyborczych 1998-2018 (2024 nie jest dostępny -- zob. accessNote). Miasta na prawach powiatu (Kraków, Warszawa itd.) nie mają osobnej rady powiatu, więc nie występują w tym zbiorze -- ich radni są liczeni wyłącznie pod ""Wybory do rady gminy"".";Powiat;osób;;;;;;;;
wybory_sejmiku;Państwowa Komisja Wyborcza (PKW);;;Kandydaci, wybrani radni sejmiku i oddane głosy w wyborach do sejmików województw, wg płci. Dane tylko z lat wyborczych 1998-2024. Granice województw na tej mapie są dociągnięte przez połączenie powiatów (etl/build_wojewodztwa.py) -- nie pochodzą z osobnego źródła granic.;Województwo;osób;;;;;;;;
wybory_wojtowie;Państwowa Komisja Wyborcza (PKW);;;"Kandydaci, wybrany kandydat i oddane głosy w wyborach na wójta/burmistrza/prezydenta miasta, wg płci. ""Kandydaci"" to pole I tury (wszyscy zarejestrowani); ""Zdobyte głosy I tura""/""Zdobyte głosy II tura"" liczone osobno -- kandydaci, którzy nie weszli do II tury, mają tam 0. ""Wybrani"" obejmuje zwycięzcę niezależnie od tego, w której turze rozstrzygnęły się wybory.";Gmina;osób;;;;;;;;
